JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5
INTRALOT_MINAS_5;940;19/7/2016;7;15;30;31;33
INTRALOT_MINAS_5;939;18/7/2016;3;14;15;29;34
INTRALOT_MINAS_5;938;16/7/2016;8;19;22;28;29
INTRALOT_MINAS_5;937;15/7/2016;10;11;14;17;33
INTRALOT_MINAS_5;936;14/7/2016;2;8;22;27;30
INTRALOT_MINAS_5;935;13/7/2016;2;9;12;20;27
INTRALOT_MINAS_5;934;12/7/2016;4;19;23;25;34
INTRALOT_MINAS_5;933;11/7/2016;6;26;27;31;32
INTRALOT_MINAS_5;932;9/7/2016;7;22;23;27;30
INTRALOT_MINAS_5;931;8/7/2016;9;19;28;29;31
