JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5
INTRALOT_MINAS_5;790;21/1/2016;3;7;11;19;32
INTRALOT_MINAS_5;789;20/1/2016;6;11;23;28;32
INTRALOT_MINAS_5;788;19/1/2016;16;21;22;30;34
INTRALOT_MINAS_5;787;18/1/2016;1;9;15;23;31
INTRALOT_MINAS_5;786;16/1/2016;4;5;10;25;32
INTRALOT_MINAS_5;785;15/1/2016;8;10;16;27;31
INTRALOT_MINAS_5;784;14/1/2016;1;19;22;26;34
INTRALOT_MINAS_5;783;13/1/2016;4;12;25;27;28
INTRALOT_MINAS_5;782;12/1/2016;4;10;12;23;28
INTRALOT_MINAS_5;781;11/1/2016;1;13;19;23;31
