JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5
INTRALOT_MINAS_5;950;30/7/2016;7;12;15;27;32
INTRALOT_MINAS_5;949;29/7/2016;16;22;26;28;30
INTRALOT_MINAS_5;948;28/7/2016;9;11;19;23;31
INTRALOT_MINAS_5;947;27/7/2016;5;11;13;16;21
INTRALOT_MINAS_5;946;26/7/2016;5;10;15;20;23
INTRALOT_MINAS_5;945;25/7/2016;5;6;8;18;22
INTRALOT_MINAS_5;944;23/7/2016;5;6;20;21;26
INTRALOT_MINAS_5;943;22/7/2016;3;18;21;23;29
INTRALOT_MINAS_5;942;21/7/2016;8;12;20;25;29
INTRALOT_MINAS_5;941;20/7/2016;2;4;14;27;31
