JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5
INTRALOT_MINAS_5;930;7/7/2016;10;18;21;28;30
INTRALOT_MINAS_5;929;6/7/2016;9;10;13;14;32
INTRALOT_MINAS_5;928;5/7/2016;9;12;22;24;34
INTRALOT_MINAS_5;927;4/7/2016;8;11;15;18;31
INTRALOT_MINAS_5;926;2/7/2016;3;20;22;24;25
INTRALOT_MINAS_5;925;1/7/2016;1;3;6;19;26
INTRALOT_MINAS_5;924;30/6/2016;2;9;15;23;24
INTRALOT_MINAS_5;923;29/6/2016;3;9;16;25;30
INTRALOT_MINAS_5;922;28/6/2016;6;8;10;20;25
INTRALOT_MINAS_5;921;27/6/2016;7;11;14;30;33
