JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5
INTRALOT_MINAS_5;910;14/6/2016;6;11;13;21;32
INTRALOT_MINAS_5;909;13/6/2016;1;13;21;33;34
INTRALOT_MINAS_5;908;11/6/2016;3;11;12;13;28
INTRALOT_MINAS_5;907;10/6/2016;6;18;29;32;33
INTRALOT_MINAS_5;906;9/6/2016;14;19;23;25;26
INTRALOT_MINAS_5;905;8/6/2016;2;13;15;24;33
INTRALOT_MINAS_5;904;7/6/2016;14;16;17;24;26
INTRALOT_MINAS_5;903;6/6/2016;5;6;9;17;18
INTRALOT_MINAS_5;902;4/6/2016;6;19;20;23;31
INTRALOT_MINAS_5;901;3/6/2016;5;16;18;30;33
