JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5
INTRALOT_MINAS_5;890;20/5/2016;2;14;17;22;34
INTRALOT_MINAS_5;889;19/5/2016;1;7;12;19;30
INTRALOT_MINAS_5;888;18/5/2016;4;22;24;27;29
INTRALOT_MINAS_5;887;17/5/2016;8;9;11;18;34
INTRALOT_MINAS_5;886;16/5/2016;5;14;26;29;34
INTRALOT_MINAS_5;885;14/5/2016;19;20;22;33;34
INTRALOT_MINAS_5;884;13/5/2016;10;11;21;26;30
INTRALOT_MINAS_5;883;12/5/2016;6;7;13;18;34
INTRALOT_MINAS_5;882;11/5/2016;6;7;22;26;28
INTRALOT_MINAS_5;881;10/5/2016;13;16;21;25;33
