JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5
INTRALOT_MINAS_5;870;27/4/2016;5;11;13;17;34
INTRALOT_MINAS_5;869;26/4/2016;1;7;10;14;33
INTRALOT_MINAS_5;868;25/4/2016;1;24;26;28;34
INTRALOT_MINAS_5;867;23/4/2016;6;10;18;21;33
INTRALOT_MINAS_5;866;22/4/2016;3;14;16;28;29
INTRALOT_MINAS_5;865;20/4/2016;15;20;24;28;31
INTRALOT_MINAS_5;864;19/4/2016;11;13;19;28;31
INTRALOT_MINAS_5;863;18/4/2016;5;13;20;28;33
INTRALOT_MINAS_5;862;16/4/2016;18;21;22;27;30
INTRALOT_MINAS_5;861;15/4/2016;1;5;10;16;33
