JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5
INTRALOT_MINAS_5;850;2/4/2016;2;3;11;26;31
INTRALOT_MINAS_5;849;1/4/2016;2;13;23;29;33
INTRALOT_MINAS_5;848;31/3/2016;9;15;28;29;31
INTRALOT_MINAS_5;847;30/3/2016;7;8;13;22;28
INTRALOT_MINAS_5;846;29/3/2016;1;12;18;22;34
INTRALOT_MINAS_5;845;28/3/2016;2;13;18;24;29
INTRALOT_MINAS_5;844;26/3/2016;1;2;13;14;22
INTRALOT_MINAS_5;843;24/3/2016;8;15;22;28;32
INTRALOT_MINAS_5;842;23/3/2016;6;14;21;22;32
INTRALOT_MINAS_5;841;22/3/2016;12;25;29;30;32
