JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5
INTRALOT_MINAS_5;810;15/2/2016;3;4;5;29;34
INTRALOT_MINAS_5;809;13/2/2016;5;15;19;28;34
INTRALOT_MINAS_5;808;12/2/2016;5;11;18;25;27
INTRALOT_MINAS_5;807;11/2/2016;5;6;12;14;26
INTRALOT_MINAS_5;806;10/2/2016;14;18;20;27;30
INTRALOT_MINAS_5;805;8/2/2016;1;5;16;21;27
INTRALOT_MINAS_5;804;6/2/2016;19;21;23;26;30
INTRALOT_MINAS_5;803;5/2/2016;3;5;11;22;31
INTRALOT_MINAS_5;802;4/2/2016;1;4;26;27;31
INTRALOT_MINAS_5;801;3/2/2016;8;9;11;16;28
