JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5
INTRALOT_MINAS_5;900;2/6/2016;2;5;6;11;16
INTRALOT_MINAS_5;899;1/6/2016;10;13;28;30;33
INTRALOT_MINAS_5;898;31/5/2016;2;9;23;26;34
INTRALOT_MINAS_5;897;30/5/2016;5;9;16;20;25
INTRALOT_MINAS_5;896;28/5/2016;2;8;15;22;29
INTRALOT_MINAS_5;895;27/5/2016;7;14;25;27;33
INTRALOT_MINAS_5;894;25/5/2016;5;13;22;26;34
INTRALOT_MINAS_5;893;24/5/2016;3;18;22;25;34
INTRALOT_MINAS_5;892;23/5/2016;7;20;26;27;29
INTRALOT_MINAS_5;891;21/5/2016;6;12;26;29;32
