JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5
INTRALOT_MINAS_5;920;25/6/2016;4;7;12;17;18
INTRALOT_MINAS_5;919;24/6/2016;7;12;19;26;28
INTRALOT_MINAS_5;918;23/6/2016;25;26;29;30;32
INTRALOT_MINAS_5;917;22/6/2016;6;9;11;15;34
INTRALOT_MINAS_5;916;21/6/2016;11;16;17;21;34
INTRALOT_MINAS_5;915;20/6/2016;11;12;17;33;34
INTRALOT_MINAS_5;914;18/6/2016;9;10;14;20;30
INTRALOT_MINAS_5;913;17/6/2016;2;14;17;23;28
INTRALOT_MINAS_5;912;16/6/2016;1;2;13;16;20
INTRALOT_MINAS_5;911;15/6/2016;12;14;15;18;20
