JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5
INTRALOT_MINAS_5;970;23/8/2016;11;13;19;30;32
INTRALOT_MINAS_5;969;22/8/2016;2;6;8;9;12
INTRALOT_MINAS_5;968;20/8/2016;9;15;16;23;29
INTRALOT_MINAS_5;967;19/8/2016;6;9;10;13;24
INTRALOT_MINAS_5;966;18/8/2016;2;11;25;26;34
INTRALOT_MINAS_5;965;17/8/2016;2;9;15;20;29
INTRALOT_MINAS_5;964;16/8/2016;5;6;9;17;29
INTRALOT_MINAS_5;963;15/8/2016;3;8;16;18;23
INTRALOT_MINAS_5;962;13/8/2016;2;8;18;26;32
INTRALOT_MINAS_5;961;12/8/2016;4;8;16;30;33
