JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;417042;9/2/2016;5;6;11;12;15;33;35;45;46;49;59;62;65;66;68;69;72;76;77;78
INTRALOT_KENO_MINAS;417041;9/2/2016;7;15;16;28;32;42;43;44;45;48;51;56;57;59;66;67;72;73;77;78
INTRALOT_KENO_MINAS;417040;9/2/2016;11;13;21;25;26;32;34;35;36;38;40;42;44;56;59;62;72;74;75;79
INTRALOT_KENO_MINAS;417039;9/2/2016;1;2;3;10;12;14;16;18;22;28;34;35;37;47;51;53;54;55;61;74
INTRALOT_KENO_MINAS;417038;9/2/2016;11;13;17;21;24;27;28;31;32;37;39;40;42;47;57;63;67;70;75;79
INTRALOT_KENO_MINAS;417037;9/2/2016;1;2;9;11;13;17;20;23;26;40;44;50;53;54;56;70;75;78;79;80
INTRALOT_KENO_MINAS;417036;9/2/2016;7;11;12;14;23;24;27;28;30;35;36;38;39;43;57;69;71;73;74;75
INTRALOT_KENO_MINAS;417035;9/2/2016;4;6;9;14;18;20;21;33;35;43;45;51;55;57;58;61;64;66;69;80
INTRALOT_KENO_MINAS;417034;9/2/2016;3;4;6;8;11;16;17;26;30;31;43;45;51;55;61;64;67;70;75;76
INTRALOT_KENO_MINAS;417033;9/2/2016;12;24;29;32;35;36;42;44;47;54;55;57;59;61;64;68;74;75;77;79
