JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;434700;2/5/2016;1;2;8;9;10;12;13;19;23;29;37;42;43;51;52;68;71;73;77;78
INTRALOT_KENO_MINAS;434699;2/5/2016;5;9;10;12;17;18;19;23;24;28;42;43;47;51;54;63;66;71;72;74
INTRALOT_KENO_MINAS;434698;2/5/2016;2;7;8;9;13;14;21;25;26;30;42;43;48;53;57;58;60;61;63;72
INTRALOT_KENO_MINAS;434697;2/5/2016;1;2;6;13;17;18;32;33;38;39;41;46;49;57;60;62;70;73;76;78
INTRALOT_KENO_MINAS;434696;2/5/2016;1;4;9;16;17;22;25;30;31;35;37;46;49;58;61;70;72;73;75;76
INTRALOT_KENO_MINAS;434695;2/5/2016;17;20;22;25;27;29;31;36;37;38;42;44;50;55;56;59;68;71;75;78
INTRALOT_KENO_MINAS;434694;2/5/2016;1;4;6;11;13;18;26;27;40;43;54;56;58;63;68;70;71;72;75;76
INTRALOT_KENO_MINAS;434693;2/5/2016;1;3;5;22;23;26;29;32;33;35;41;44;51;58;61;62;68;72;74;79
INTRALOT_KENO_MINAS;434692;2/5/2016;5;6;8;18;19;23;26;28;32;37;38;39;42;49;52;56;58;63;69;75
INTRALOT_KENO_MINAS;434691;2/5/2016;6;7;8;11;19;22;26;36;43;44;46;47;49;57;58;59;62;68;70;78
