JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5
INTRALOT_MINAS_5;806;10/2/2016;14;18;20;27;30
INTRALOT_MINAS_5;805;8/2/2016;1;5;16;21;27
INTRALOT_MINAS_5;804;6/2/2016;19;21;23;26;30
INTRALOT_MINAS_5;803;5/2/2016;3;5;11;22;31
INTRALOT_MINAS_5;802;4/2/2016;1;4;26;27;31
INTRALOT_MINAS_5;801;3/2/2016;8;9;11;16;28
INTRALOT_MINAS_5;800;2/2/2016;3;4;13;25;34
INTRALOT_MINAS_5;799;1/2/2016;4;17;19;23;32
INTRALOT_MINAS_5;798;30/1/2016;1;8;20;21;32
INTRALOT_MINAS_5;797;29/1/2016;1;9;11;21;27
