JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;437370;14/5/2016;3;11;12;14;15;17;18;24;29;34;35;45;52;54;63;66;73;74;79;80
INTRALOT_KENO_MINAS;437369;14/5/2016;4;7;9;15;17;24;25;26;29;32;39;41;43;60;67;68;69;70;71;72
INTRALOT_KENO_MINAS;437368;14/5/2016;8;23;28;31;32;37;38;39;41;54;59;62;63;64;65;67;69;71;73;79
INTRALOT_KENO_MINAS;437367;14/5/2016;2;4;5;6;10;13;16;21;22;23;24;25;31;43;44;50;67;71;76;77
INTRALOT_KENO_MINAS;437366;14/5/2016;1;2;4;7;11;12;13;26;33;36;42;45;48;63;65;67;68;69;72;76
INTRALOT_KENO_MINAS;437365;14/5/2016;10;15;17;22;27;36;37;40;45;46;49;52;55;56;62;67;73;74;76;77
INTRALOT_KENO_MINAS;437364;14/5/2016;7;10;15;18;20;23;26;32;36;37;50;52;63;65;68;72;73;77;78;80
INTRALOT_KENO_MINAS;437363;14/5/2016;1;6;8;17;31;33;34;35;40;41;44;47;52;55;61;63;64;66;71;77
INTRALOT_KENO_MINAS;437362;14/5/2016;3;4;8;10;15;19;29;30;31;34;36;48;53;56;62;67;68;69;73;76
INTRALOT_KENO_MINAS;437361;14/5/2016;19;22;23;26;27;28;30;35;38;39;47;50;52;57;64;66;71;74;76;77
