JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;421372;1/3/2016;9;17;21;23;29;32;38;39;40;42;49;55;56;61;62;66;69;70;72;78
INTRALOT_KENO_MINAS;421371;1/3/2016;1;3;6;13;15;17;19;20;21;27;44;49;53;54;55;62;65;68;71;72
INTRALOT_KENO_MINAS;421370;1/3/2016;4;7;10;15;19;21;24;26;29;30;32;33;34;44;46;50;57;58;61;62
INTRALOT_KENO_MINAS;421369;1/3/2016;4;5;10;11;15;20;22;27;28;37;40;41;43;46;53;64;70;76;77;78
INTRALOT_KENO_MINAS;421368;1/3/2016;8;12;13;15;17;18;20;32;36;40;45;46;48;51;56;59;63;64;65;69
INTRALOT_KENO_MINAS;421367;1/3/2016;5;6;8;14;15;21;25;26;36;38;39;45;46;52;53;64;71;72;74;76
INTRALOT_KENO_MINAS;421366;1/3/2016;5;9;12;18;24;25;30;33;34;39;46;55;57;59;63;71;73;76;78;80
INTRALOT_KENO_MINAS;421365;1/3/2016;2;4;9;21;23;31;34;37;39;43;49;51;52;53;58;59;71;72;73;74
INTRALOT_KENO_MINAS;421364;1/3/2016;7;11;12;13;14;20;21;22;29;40;43;47;50;55;63;67;71;72;75;79
INTRALOT_KENO_MINAS;421363;1/3/2016;1;14;15;18;22;23;27;29;39;40;46;50;52;61;66;68;69;72;73;77
