JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;421162;29/2/2016;4;6;8;17;18;22;25;27;32;36;38;39;42;49;51;55;58;68;71;75
INTRALOT_KENO_MINAS;421161;29/2/2016;11;12;20;23;26;28;36;37;39;43;47;50;51;53;54;58;69;71;76;79
INTRALOT_KENO_MINAS;421160;29/2/2016;1;3;4;7;14;17;22;25;30;32;43;47;50;52;54;56;65;66;68;77
INTRALOT_KENO_MINAS;421159;29/2/2016;2;3;4;6;9;12;13;16;20;22;33;35;36;44;49;60;68;74;76;79
INTRALOT_KENO_MINAS;421158;29/2/2016;5;11;20;25;33;34;35;37;42;43;45;48;57;58;59;64;66;73;77;80
INTRALOT_KENO_MINAS;421157;29/2/2016;1;12;21;22;30;31;35;38;45;48;51;54;55;57;64;65;66;69;74;80
INTRALOT_KENO_MINAS;421156;29/2/2016;5;18;20;21;23;24;31;32;33;42;43;46;52;54;56;59;62;68;69;73
INTRALOT_KENO_MINAS;421155;29/2/2016;11;12;15;21;25;32;33;35;43;44;46;50;58;60;62;63;71;74;77;79
INTRALOT_KENO_MINAS;421154;29/2/2016;3;6;7;9;10;18;22;24;25;27;29;42;45;52;54;57;62;64;69;72
INTRALOT_KENO_MINAS;421153;29/2/2016;6;8;10;13;17;18;19;20;21;32;35;38;40;43;45;48;52;56;60;70
