JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5
INTRALOT_MINAS_5;916;21/6/2016;11;16;17;21;34
INTRALOT_MINAS_5;915;20/6/2016;11;12;17;33;34
INTRALOT_MINAS_5;914;18/6/2016;9;10;14;20;30
INTRALOT_MINAS_5;913;17/6/2016;2;14;17;23;28
INTRALOT_MINAS_5;912;16/6/2016;1;2;13;16;20
INTRALOT_MINAS_5;911;15/6/2016;12;14;15;18;20
INTRALOT_MINAS_5;910;14/6/2016;6;11;13;21;32
INTRALOT_MINAS_5;909;13/6/2016;1;13;21;33;34
INTRALOT_MINAS_5;908;11/6/2016;3;11;12;13;28
INTRALOT_MINAS_5;907;10/6/2016;6;18;29;32;33
