JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5
INTRALOT_MINAS_5;876;4/5/2016;6;11;12;20;26
INTRALOT_MINAS_5;875;3/5/2016;1;13;19;27;31
INTRALOT_MINAS_5;874;2/5/2016;5;17;18;19;32
INTRALOT_MINAS_5;873;30/4/2016;1;14;22;24;25
INTRALOT_MINAS_5;872;29/4/2016;7;8;11;14;32
INTRALOT_MINAS_5;871;28/4/2016;1;4;29;30;32
INTRALOT_MINAS_5;870;27/4/2016;5;11;13;17;34
INTRALOT_MINAS_5;869;26/4/2016;1;7;10;14;33
INTRALOT_MINAS_5;868;25/4/2016;1;24;26;28;34
INTRALOT_MINAS_5;867;23/4/2016;6;10;18;21;33
