JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5
INTRALOT_MINAS_5;936;14/7/2016;2;8;22;27;30
INTRALOT_MINAS_5;935;13/7/2016;2;9;12;20;27
INTRALOT_MINAS_5;934;12/7/2016;4;19;23;25;34
INTRALOT_MINAS_5;933;11/7/2016;6;26;27;31;32
INTRALOT_MINAS_5;932;9/7/2016;7;22;23;27;30
INTRALOT_MINAS_5;931;8/7/2016;9;19;28;29;31
INTRALOT_MINAS_5;930;7/7/2016;10;18;21;28;30
INTRALOT_MINAS_5;929;6/7/2016;9;10;13;14;32
INTRALOT_MINAS_5;928;5/7/2016;9;12;22;24;34
INTRALOT_MINAS_5;927;4/7/2016;8;11;15;18;31
