JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;432692;22/4/2016;3;6;11;15;17;23;27;33;37;39;43;51;55;57;59;62;66;72;76;79
INTRALOT_KENO_MINAS;432691;22/4/2016;2;5;10;11;15;17;18;20;21;26;32;33;41;51;54;55;59;64;74;78
INTRALOT_KENO_MINAS;432690;22/4/2016;10;15;17;20;21;22;24;28;39;50;54;56;57;58;62;65;71;72;76;79
INTRALOT_KENO_MINAS;432689;22/4/2016;2;7;13;14;17;21;23;25;28;34;35;40;42;43;59;66;70;74;75;79
INTRALOT_KENO_MINAS;432688;22/4/2016;1;6;16;20;21;23;24;27;32;35;38;43;48;49;57;60;66;71;72;78
INTRALOT_KENO_MINAS;432687;22/4/2016;2;4;5;14;15;16;19;21;29;30;36;40;43;45;46;54;55;62;65;68
INTRALOT_KENO_MINAS;432686;22/4/2016;2;5;8;15;21;26;38;40;44;58;59;61;63;66;67;69;71;76;79;80
INTRALOT_KENO_MINAS;432685;22/4/2016;1;3;4;5;9;16;22;26;28;48;49;52;54;62;64;65;73;75;77;79
INTRALOT_KENO_MINAS;432684;22/4/2016;10;11;18;24;30;32;35;41;42;47;50;51;53;55;59;64;66;72;74;75
INTRALOT_KENO_MINAS;432683;22/4/2016;2;6;12;13;14;20;21;26;27;30;32;39;41;48;58;59;68;74;76;79
