JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5
INTRALOT_MINAS_5;826;4/3/2016;1;10;16;19;25
INTRALOT_MINAS_5;825;3/3/2016;5;10;22;23;34
INTRALOT_MINAS_5;824;2/3/2016;1;7;12;22;32
INTRALOT_MINAS_5;823;1/3/2016;3;11;21;22;30
INTRALOT_MINAS_5;822;29/2/2016;4;10;23;26;29
INTRALOT_MINAS_5;821;27/2/2016;6;10;12;15;29
INTRALOT_MINAS_5;820;26/2/2016;5;9;20;29;33
INTRALOT_MINAS_5;819;25/2/2016;1;5;15;23;26
INTRALOT_MINAS_5;818;24/2/2016;1;2;3;21;34
INTRALOT_MINAS_5;817;23/2/2016;6;7;16;21;31
