JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;445020;19/6/2016;5;8;9;10;14;15;23;27;34;37;40;43;53;57;58;64;65;67;73;77
INTRALOT_KENO_MINAS;445019;19/6/2016;5;12;15;19;25;33;34;36;40;42;43;44;48;51;53;57;61;74;77;79
INTRALOT_KENO_MINAS;445018;19/6/2016;1;2;4;5;6;21;23;24;30;32;33;38;47;51;52;54;68;72;79;80
INTRALOT_KENO_MINAS;445017;19/6/2016;1;2;3;4;8;13;23;30;31;36;39;40;45;46;52;55;61;63;66;76
INTRALOT_KENO_MINAS;445016;19/6/2016;1;2;3;7;20;23;27;31;35;39;41;49;50;51;52;55;59;61;66;80
INTRALOT_KENO_MINAS;445015;19/6/2016;1;10;14;16;17;20;31;42;47;48;51;55;56;58;59;60;69;72;76;77
INTRALOT_KENO_MINAS;445014;19/6/2016;1;14;17;21;23;26;30;33;37;40;46;49;51;54;60;66;69;70;73;75
INTRALOT_KENO_MINAS;445013;19/6/2016;2;6;8;9;12;14;17;27;32;33;35;42;47;55;57;60;66;70;71;74
INTRALOT_KENO_MINAS;445012;19/6/2016;7;17;18;19;21;24;27;30;31;38;40;42;47;48;49;52;54;55;67;74
INTRALOT_KENO_MINAS;445011;19/6/2016;1;2;8;9;22;24;26;38;41;51;53;57;59;62;66;69;70;71;76;77
