JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;442530;7/6/2016;3;4;6;17;18;19;20;21;35;42;48;52;60;62;65;66;74;77;78;79
INTRALOT_KENO_MINAS;442529;7/6/2016;5;6;11;14;20;22;35;37;41;47;48;52;54;58;60;63;68;70;73;74
INTRALOT_KENO_MINAS;442528;7/6/2016;4;6;9;11;13;19;22;32;35;40;41;47;49;58;64;70;72;74;75;80
INTRALOT_KENO_MINAS;442527;7/6/2016;11;13;18;25;30;32;35;37;40;47;49;54;55;56;58;67;71;73;74;80
INTRALOT_KENO_MINAS;442526;7/6/2016;3;4;8;9;15;20;25;31;35;36;38;40;48;50;51;55;59;65;71;77
INTRALOT_KENO_MINAS;442525;7/6/2016;4;6;11;16;17;27;30;36;38;46;49;53;56;60;63;64;66;71;75;79
INTRALOT_KENO_MINAS;442524;7/6/2016;3;9;10;13;25;28;29;31;32;33;35;36;44;45;46;56;59;62;64;65
INTRALOT_KENO_MINAS;442523;7/6/2016;1;2;3;4;9;10;18;22;30;32;34;35;41;45;66;67;68;72;73;74
INTRALOT_KENO_MINAS;442522;7/6/2016;5;6;9;10;18;22;28;37;42;43;47;50;52;54;57;59;60;61;64;77
INTRALOT_KENO_MINAS;442521;7/6/2016;8;10;11;14;16;20;23;24;27;32;33;37;39;43;49;57;59;62;67;71
