JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;439540;24/5/2016;2;8;11;17;22;25;27;30;32;41;49;58;59;62;66;68;70;72;77;80
INTRALOT_KENO_MINAS;439539;24/5/2016;1;2;8;10;12;15;16;22;23;25;30;35;46;47;49;58;59;61;73;78
INTRALOT_KENO_MINAS;439538;24/5/2016;7;11;14;24;30;32;37;46;50;53;54;59;60;62;64;66;69;74;78;79
INTRALOT_KENO_MINAS;439537;24/5/2016;10;15;16;21;22;27;28;34;35;39;42;45;54;59;64;68;69;75;76;79
INTRALOT_KENO_MINAS;439536;24/5/2016;5;14;15;26;28;30;34;35;36;45;47;48;52;55;56;64;66;73;75;78
INTRALOT_KENO_MINAS;439535;24/5/2016;4;5;10;11;14;19;28;29;34;38;42;44;48;49;55;60;67;76;77;80
INTRALOT_KENO_MINAS;439534;24/5/2016;4;6;9;12;13;15;18;21;24;25;35;38;47;50;54;55;56;62;68;77
INTRALOT_KENO_MINAS;439533;24/5/2016;1;2;8;11;13;19;21;25;31;34;49;50;51;55;59;61;66;67;74;79
INTRALOT_KENO_MINAS;439532;24/5/2016;1;5;10;13;14;15;22;23;25;30;31;41;49;51;57;63;68;72;74;77
INTRALOT_KENO_MINAS;439531;24/5/2016;6;7;9;15;16;19;20;23;25;27;35;39;43;44;51;58;59;69;71;77
