JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;444530;16/6/2016;4;6;7;17;23;30;31;36;38;43;48;49;50;57;62;63;65;69;76;79
INTRALOT_KENO_MINAS;444529;16/6/2016;10;14;17;19;24;26;29;30;34;37;38;39;40;48;49;52;64;67;75;80
INTRALOT_KENO_MINAS;444528;16/6/2016;5;12;15;16;18;20;36;38;40;46;48;49;52;53;55;67;68;72;76;78
INTRALOT_KENO_MINAS;444527;16/6/2016;2;3;5;8;14;19;21;30;36;39;44;47;53;57;61;69;70;72;73;75
INTRALOT_KENO_MINAS;444526;16/6/2016;2;4;6;8;9;12;18;25;27;28;32;38;40;41;61;62;63;64;65;69
INTRALOT_KENO_MINAS;444525;16/6/2016;3;8;14;15;19;23;37;42;44;51;56;59;60;61;62;64;66;74;78;80
INTRALOT_KENO_MINAS;444524;16/6/2016;5;7;9;14;15;20;21;24;26;29;31;34;42;49;58;59;62;64;69;73
INTRALOT_KENO_MINAS;444523;16/6/2016;2;13;14;21;22;23;38;39;40;44;52;53;56;62;63;67;68;75;76;79
INTRALOT_KENO_MINAS;444522;16/6/2016;14;19;20;27;28;30;34;38;42;43;46;49;56;60;61;66;72;73;78;80
INTRALOT_KENO_MINAS;444521;16/6/2016;5;7;8;10;12;13;16;17;21;29;30;36;40;43;50;51;54;55;67;73
