JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;450250;13/7/2016;1;4;9;12;13;14;20;21;22;35;37;39;41;51;58;65;72;74;75;78
INTRALOT_KENO_MINAS;450249;13/7/2016;3;7;8;9;11;13;14;16;23;25;28;31;50;54;55;58;63;65;67;76
INTRALOT_KENO_MINAS;450248;13/7/2016;1;2;4;6;13;14;18;21;22;28;31;38;41;47;50;57;60;66;67;80
INTRALOT_KENO_MINAS;450247;13/7/2016;7;8;9;10;12;13;21;27;35;36;39;40;41;50;56;59;69;72;74;79
INTRALOT_KENO_MINAS;450246;13/7/2016;8;16;17;18;21;22;37;42;44;45;46;47;56;59;60;62;63;67;78;79
INTRALOT_KENO_MINAS;450245;13/7/2016;2;3;8;10;11;19;24;28;34;40;41;44;45;46;48;51;52;57;64;76
INTRALOT_KENO_MINAS;450244;13/7/2016;2;4;11;26;27;39;40;41;44;47;48;50;60;65;66;67;71;75;76;80
INTRALOT_KENO_MINAS;450243;13/7/2016;2;3;4;6;10;17;19;20;22;28;32;38;44;46;48;49;55;56;65;71
INTRALOT_KENO_MINAS;450242;13/7/2016;1;12;14;25;27;30;31;35;36;37;40;46;52;54;55;58;59;68;69;79
INTRALOT_KENO_MINAS;450241;13/7/2016;8;11;18;21;23;26;31;36;38;41;43;45;47;48;57;60;64;66;77;78
