JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;435560;6/5/2016;2;4;15;19;20;24;25;28;33;38;41;42;51;60;67;68;71;74;75;76
INTRALOT_KENO_MINAS;435559;6/5/2016;1;31;33;34;36;42;44;48;49;50;53;55;56;60;61;66;71;73;75;76
INTRALOT_KENO_MINAS;435558;6/5/2016;2;5;12;17;19;23;30;31;33;40;47;51;52;56;57;64;67;69;73;74
INTRALOT_KENO_MINAS;435557;6/5/2016;9;13;20;21;26;28;36;37;44;47;48;52;53;57;58;59;60;67;74;79
INTRALOT_KENO_MINAS;435556;6/5/2016;5;7;8;11;29;35;38;43;48;49;50;54;63;65;67;70;71;72;74;76
INTRALOT_KENO_MINAS;435555;6/5/2016;6;7;26;29;30;32;34;41;42;43;45;47;48;52;66;68;72;73;77;79
INTRALOT_KENO_MINAS;435554;6/5/2016;3;7;11;22;25;34;35;40;43;45;47;55;61;62;67;68;71;72;75;77
INTRALOT_KENO_MINAS;435553;6/5/2016;1;3;6;9;13;30;32;36;38;39;45;48;50;53;59;60;62;67;68;74
INTRALOT_KENO_MINAS;435552;6/5/2016;8;14;26;27;28;32;34;42;46;50;52;56;57;60;63;65;68;71;72;78
INTRALOT_KENO_MINAS;435551;6/5/2016;7;16;17;26;27;30;32;37;38;39;42;49;52;53;57;59;64;67;69;72
