JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;427532;29/3/2016;3;11;13;16;18;23;29;31;37;38;42;45;47;51;53;61;65;66;71;77
INTRALOT_KENO_MINAS;427531;29/3/2016;2;6;11;14;16;17;21;22;23;29;32;33;46;50;54;59;61;62;70;71
INTRALOT_KENO_MINAS;427530;29/3/2016;3;4;5;6;11;16;17;18;28;31;33;39;40;52;60;62;65;68;75;78
INTRALOT_KENO_MINAS;427529;29/3/2016;6;15;16;18;23;24;27;29;34;37;54;62;64;65;67;68;70;76;78;80
INTRALOT_KENO_MINAS;427528;29/3/2016;15;17;20;23;24;28;29;33;37;41;43;45;47;57;60;64;69;71;77;80
INTRALOT_KENO_MINAS;427527;29/3/2016;2;3;7;9;11;13;20;27;28;33;36;53;62;64;66;70;71;75;77;79
INTRALOT_KENO_MINAS;427526;29/3/2016;3;6;7;14;15;16;17;19;25;27;41;43;46;53;56;63;71;74;79;80
INTRALOT_KENO_MINAS;427525;29/3/2016;5;7;16;20;22;34;35;38;40;43;45;48;52;59;60;63;72;75;76;79
INTRALOT_KENO_MINAS;427524;29/3/2016;2;4;6;8;10;11;12;13;18;23;26;38;40;42;50;61;63;72;78;80
INTRALOT_KENO_MINAS;427523;29/3/2016;2;5;8;14;21;25;31;34;44;45;46;48;51;54;60;70;73;74;75;79
