JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;428772;4/4/2016;2;4;10;12;18;20;23;24;30;33;45;55;57;58;65;69;70;74;76;78
INTRALOT_KENO_MINAS;428771;4/4/2016;1;2;8;12;15;18;20;21;24;25;30;32;33;36;37;49;65;68;70;80
INTRALOT_KENO_MINAS;428770;4/4/2016;7;9;13;14;16;17;26;27;32;35;37;38;45;46;48;58;60;71;74;79
INTRALOT_KENO_MINAS;428769;4/4/2016;5;6;13;15;18;25;27;28;30;35;38;43;45;52;61;62;64;67;72;78
INTRALOT_KENO_MINAS;428768;4/4/2016;1;2;3;5;12;22;24;25;28;33;45;48;51;56;58;62;67;69;75;78
INTRALOT_KENO_MINAS;428767;4/4/2016;4;10;12;17;45;47;48;49;54;55;56;59;61;64;65;68;69;70;72;79
INTRALOT_KENO_MINAS;428766;4/4/2016;2;6;7;8;12;13;20;22;27;31;46;49;51;56;60;61;66;78;79;80
INTRALOT_KENO_MINAS;428765;4/4/2016;4;6;14;22;26;32;36;44;46;47;51;53;54;60;61;62;70;73;75;79
INTRALOT_KENO_MINAS;428764;4/4/2016;4;5;17;24;27;30;31;36;45;48;49;50;52;57;58;59;63;65;67;71
INTRALOT_KENO_MINAS;428763;4/4/2016;3;5;9;14;18;19;20;30;33;34;40;64;69;71;72;73;76;77;78;80
