JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5
INTRALOT_MINAS_5;816;22/2/2016;12;14;18;21;27
INTRALOT_MINAS_5;815;20/2/2016;2;7;8;14;21
INTRALOT_MINAS_5;814;19/2/2016;2;5;18;21;26
INTRALOT_MINAS_5;813;18/2/2016;1;4;20;23;27
INTRALOT_MINAS_5;812;17/2/2016;1;14;20;23;33
INTRALOT_MINAS_5;811;16/2/2016;2;6;12;14;23
INTRALOT_MINAS_5;810;15/2/2016;3;4;5;29;34
INTRALOT_MINAS_5;809;13/2/2016;5;15;19;28;34
INTRALOT_MINAS_5;808;12/2/2016;5;11;18;25;27
INTRALOT_MINAS_5;807;11/2/2016;5;6;12;14;26
