JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;444200;15/6/2016;8;13;20;27;28;33;38;39;40;41;45;55;60;63;65;69;70;74;78;79
INTRALOT_KENO_MINAS;444199;15/6/2016;2;9;10;12;13;18;26;31;35;39;40;50;57;59;60;63;66;71;75;80
INTRALOT_KENO_MINAS;444198;15/6/2016;5;8;9;12;13;14;19;31;33;39;42;43;44;45;58;64;67;72;75;78
INTRALOT_KENO_MINAS;444197;15/6/2016;3;5;9;10;11;15;18;20;28;30;44;48;51;54;61;62;65;67;69;70
INTRALOT_KENO_MINAS;444196;15/6/2016;2;9;13;15;16;17;18;23;25;26;28;34;40;42;43;59;61;66;74;75
INTRALOT_KENO_MINAS;444195;15/6/2016;6;9;11;12;15;18;29;33;34;38;44;45;46;53;57;58;59;60;70;71
INTRALOT_KENO_MINAS;444194;15/6/2016;1;2;5;6;7;14;17;20;22;24;31;47;51;52;58;68;69;71;72;77
INTRALOT_KENO_MINAS;444193;15/6/2016;1;3;4;5;10;13;14;21;23;24;27;31;35;42;50;53;57;59;62;69
INTRALOT_KENO_MINAS;444192;15/6/2016;1;2;6;9;17;19;22;26;29;30;37;43;54;56;60;65;67;72;76;77
INTRALOT_KENO_MINAS;444191;15/6/2016;1;2;5;9;14;17;18;20;25;29;32;46;47;48;56;57;64;67;73;79
