JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;411112;13/1/2016;2;3;4;8;16;17;24;27;29;31;34;45;48;51;53;56;63;64;72;80
INTRALOT_KENO_MINAS;411111;13/1/2016;5;7;8;15;21;22;27;33;34;42;45;46;49;56;58;59;69;74;78;80
INTRALOT_KENO_MINAS;411110;13/1/2016;10;13;17;18;23;24;25;27;37;39;40;47;52;55;61;68;71;72;74;77
INTRALOT_KENO_MINAS;411109;13/1/2016;4;5;16;18;20;21;22;23;28;31;34;38;43;44;45;55;58;62;64;71
INTRALOT_KENO_MINAS;411108;13/1/2016;11;19;22;23;24;26;30;32;33;37;44;50;52;54;55;59;64;70;78;80
INTRALOT_KENO_MINAS;411107;13/1/2016;1;3;10;11;28;29;33;34;48;49;52;53;54;58;66;67;68;69;72;76
INTRALOT_KENO_MINAS;411106;13/1/2016;2;8;10;11;16;18;25;30;32;49;53;58;60;65;66;71;72;73;74;78
INTRALOT_KENO_MINAS;411105;13/1/2016;5;8;9;16;20;28;36;37;41;43;44;46;52;53;56;58;59;61;71;76
INTRALOT_KENO_MINAS;411104;13/1/2016;3;4;7;8;9;15;19;25;34;38;42;43;45;49;55;57;58;63;66;76
INTRALOT_KENO_MINAS;411103;13/1/2016;5;9;10;11;12;13;17;20;22;36;40;41;43;45;49;50;59;61;73;74
