JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5
INTRALOT_MINAS_5;836;16/3/2016;7;15;17;22;26
INTRALOT_MINAS_5;835;15/3/2016;2;5;9;21;27
INTRALOT_MINAS_5;834;14/3/2016;4;10;11;18;22
INTRALOT_MINAS_5;833;12/3/2016;5;12;17;20;31
INTRALOT_MINAS_5;832;11/3/2016;1;14;18;26;34
INTRALOT_MINAS_5;831;10/3/2016;10;11;12;13;31
INTRALOT_MINAS_5;830;9/3/2016;13;14;17;21;25
INTRALOT_MINAS_5;829;8/3/2016;11;14;27;28;32
INTRALOT_MINAS_5;828;7/3/2016;11;14;15;21;32
INTRALOT_MINAS_5;827;5/3/2016;4;5;7;14;33
