JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;425822;21/3/2016;1;3;13;19;21;26;29;31;35;42;45;47;55;59;62;65;66;67;78;79
INTRALOT_KENO_MINAS;425821;21/3/2016;1;2;3;8;9;13;19;21;24;25;38;44;47;52;55;58;59;67;70;76
INTRALOT_KENO_MINAS;425820;21/3/2016;1;2;4;11;14;21;22;28;31;33;44;46;52;53;55;56;57;60;61;75
INTRALOT_KENO_MINAS;425819;21/3/2016;1;2;4;5;9;12;19;26;29;33;34;35;38;45;47;58;63;64;68;76
INTRALOT_KENO_MINAS;425818;21/3/2016;1;4;5;6;17;28;34;35;39;51;56;58;60;64;71;72;74;77;78;80
INTRALOT_KENO_MINAS;425817;21/3/2016;8;9;11;12;14;18;19;20;22;23;34;42;45;46;51;52;53;64;70;80
INTRALOT_KENO_MINAS;425816;21/3/2016;2;3;7;8;9;17;19;22;25;28;39;47;54;57;61;62;67;70;72;76
INTRALOT_KENO_MINAS;425815;21/3/2016;2;9;13;16;18;27;29;31;37;38;40;47;57;58;62;64;65;67;74;76
INTRALOT_KENO_MINAS;425814;21/3/2016;1;6;8;12;13;22;23;31;33;40;42;47;48;59;66;67;73;74;76;78
INTRALOT_KENO_MINAS;425813;21/3/2016;4;8;10;14;15;20;25;30;36;39;40;52;55;56;59;62;65;67;71;75
