JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5
INTRALOT_MINAS_5;906;9/6/2016;14;19;23;25;26
INTRALOT_MINAS_5;905;8/6/2016;2;13;15;24;33
INTRALOT_MINAS_5;904;7/6/2016;14;16;17;24;26
INTRALOT_MINAS_5;903;6/6/2016;5;6;9;17;18
INTRALOT_MINAS_5;902;4/6/2016;6;19;20;23;31
INTRALOT_MINAS_5;901;3/6/2016;5;16;18;30;33
INTRALOT_MINAS_5;900;2/6/2016;2;5;6;11;16
INTRALOT_MINAS_5;899;1/6/2016;10;13;28;30;33
INTRALOT_MINAS_5;898;31/5/2016;2;9;23;26;34
INTRALOT_MINAS_5;897;30/5/2016;5;9;16;20;25
