JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;408754;2/1/2016;1;3;8;12;14;19;24;39;44;45;51;54;55;60;64;67;70;72;73;75
INTRALOT_KENO_MINAS;408753;2/1/2016;4;5;8;17;18;26;27;30;38;39;40;44;48;57;60;62;65;68;73;75
INTRALOT_KENO_MINAS;408752;2/1/2016;2;4;8;16;19;20;21;24;32;33;35;38;42;48;49;56;63;64;68;75
INTRALOT_KENO_MINAS;408751;2/1/2016;3;8;9;20;25;34;36;40;48;51;58;60;61;63;64;68;71;72;77;80
INTRALOT_KENO_MINAS;408750;2/1/2016;1;6;12;13;23;24;25;30;31;34;37;38;40;48;51;57;61;63;70;71
INTRALOT_KENO_MINAS;408749;2/1/2016;5;10;11;14;16;17;25;32;38;40;43;45;49;55;56;58;62;64;67;79
INTRALOT_KENO_MINAS;408748;2/1/2016;2;4;12;13;14;16;18;19;21;24;32;65;68;72;73;74;75;77;78;80
INTRALOT_KENO_MINAS;408747;2/1/2016;1;5;9;18;21;22;23;28;33;39;40;44;49;63;64;66;72;76;78;79
INTRALOT_KENO_MINAS;408746;2/1/2016;2;4;6;7;13;16;24;33;34;40;43;47;60;66;68;70;71;73;75;77
INTRALOT_KENO_MINAS;408745;2/1/2016;8;15;16;19;25;26;28;40;43;46;47;53;59;61;64;65;70;73;74;77
