JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;410192;9/1/2016;4;6;8;11;14;20;21;26;27;29;40;43;44;45;51;57;66;73;75;80
INTRALOT_KENO_MINAS;410191;9/1/2016;2;3;4;6;8;10;15;18;19;22;23;29;32;46;47;49;51;64;69;70
INTRALOT_KENO_MINAS;410190;9/1/2016;3;6;8;10;11;12;19;20;33;36;37;42;45;52;54;66;68;70;73;76
INTRALOT_KENO_MINAS;410189;9/1/2016;11;12;15;17;18;20;24;26;28;31;32;34;36;50;51;64;65;68;69;73
INTRALOT_KENO_MINAS;410188;9/1/2016;5;6;9;28;29;32;34;41;42;50;53;54;63;65;67;69;71;72;76;78
INTRALOT_KENO_MINAS;410187;9/1/2016;4;10;18;19;21;22;25;28;31;35;36;46;53;56;59;66;68;73;75;77
INTRALOT_KENO_MINAS;410186;9/1/2016;8;9;12;18;20;22;23;24;28;32;33;36;39;42;43;51;55;60;64;66
INTRALOT_KENO_MINAS;410185;9/1/2016;1;2;5;7;8;13;25;27;29;48;49;50;54;55;56;64;65;66;67;69
INTRALOT_KENO_MINAS;410184;9/1/2016;10;11;12;16;20;24;40;43;45;47;49;50;52;53;54;55;59;61;64;79
INTRALOT_KENO_MINAS;410183;9/1/2016;7;14;18;20;25;29;31;46;48;50;52;53;54;56;57;60;61;64;69;80
