JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;430642;13/4/2016;4;6;11;12;14;16;17;22;29;30;32;35;46;50;52;57;59;68;73;79
INTRALOT_KENO_MINAS;430641;13/4/2016;10;11;12;13;15;18;20;21;25;27;29;46;49;51;56;59;65;67;77;78
INTRALOT_KENO_MINAS;430640;13/4/2016;1;4;14;15;16;22;29;33;35;39;40;42;43;44;48;50;59;67;79;80
INTRALOT_KENO_MINAS;430639;13/4/2016;8;15;16;21;22;26;27;39;41;43;46;50;53;59;60;62;68;71;76;78
INTRALOT_KENO_MINAS;430638;13/4/2016;14;18;20;21;35;37;38;43;46;54;55;58;60;62;63;64;69;71;72;77
INTRALOT_KENO_MINAS;430637;13/4/2016;6;17;20;21;22;25;26;28;33;48;54;61;62;70;71;73;75;76;77;79
INTRALOT_KENO_MINAS;430636;13/4/2016;2;8;9;12;18;23;24;26;28;34;42;44;53;56;64;65;74;76;77;78
INTRALOT_KENO_MINAS;430635;13/4/2016;1;2;14;19;25;27;28;30;31;35;42;45;50;55;57;67;71;72;75;80
INTRALOT_KENO_MINAS;430634;13/4/2016;1;8;12;16;18;29;32;34;37;39;40;48;50;53;55;56;64;65;67;74
INTRALOT_KENO_MINAS;430633;13/4/2016;3;5;7;8;10;19;21;23;24;29;37;40;41;52;53;57;60;77;79;80
