JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5
INTRALOT_MINAS_5;896;28/5/2016;2;8;15;22;29
INTRALOT_MINAS_5;895;27/5/2016;7;14;25;27;33
INTRALOT_MINAS_5;894;25/5/2016;5;13;22;26;34
INTRALOT_MINAS_5;893;24/5/2016;3;18;22;25;34
INTRALOT_MINAS_5;892;23/5/2016;7;20;26;27;29
INTRALOT_MINAS_5;891;21/5/2016;6;12;26;29;32
INTRALOT_MINAS_5;890;20/5/2016;2;14;17;22;34
INTRALOT_MINAS_5;889;19/5/2016;1;7;12;19;30
INTRALOT_MINAS_5;888;18/5/2016;4;22;24;27;29
INTRALOT_MINAS_5;887;17/5/2016;8;9;11;18;34
