JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;448270;4/7/2016;1;10;12;13;14;22;34;38;39;45;52;53;55;62;66;73;74;76;77;78
INTRALOT_KENO_MINAS;448269;4/7/2016;3;5;9;15;16;21;28;30;35;36;37;38;51;58;64;65;70;73;77;78
INTRALOT_KENO_MINAS;448268;4/7/2016;1;2;7;10;16;17;23;27;29;33;35;41;43;45;58;67;70;71;74;75
INTRALOT_KENO_MINAS;448267;4/7/2016;3;9;16;18;24;28;30;37;46;49;54;56;60;61;68;70;72;74;78;80
INTRALOT_KENO_MINAS;448266;4/7/2016;3;6;7;8;12;19;24;29;37;39;41;42;46;47;55;63;71;72;74;77
INTRALOT_KENO_MINAS;448265;4/7/2016;2;5;7;8;14;19;21;23;24;27;28;29;32;36;38;41;48;66;73;80
INTRALOT_KENO_MINAS;448264;4/7/2016;1;2;5;8;14;18;20;22;24;25;30;38;41;45;46;64;66;69;73;79
INTRALOT_KENO_MINAS;448263;4/7/2016;6;8;9;10;11;17;23;35;39;46;49;50;51;52;59;60;70;74;75;76
INTRALOT_KENO_MINAS;448262;4/7/2016;2;9;10;14;21;22;25;26;27;32;35;39;46;50;58;61;66;67;78;80
INTRALOT_KENO_MINAS;448261;4/7/2016;3;4;7;14;18;23;27;28;38;41;43;53;56;58;61;62;73;75;77;80
