JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5
INTRALOT_MINAS_5;926;2/7/2016;3;20;22;24;25
INTRALOT_MINAS_5;925;1/7/2016;1;3;6;19;26
INTRALOT_MINAS_5;924;30/6/2016;2;9;15;23;24
INTRALOT_MINAS_5;923;29/6/2016;3;9;16;25;30
INTRALOT_MINAS_5;922;28/6/2016;6;8;10;20;25
INTRALOT_MINAS_5;921;27/6/2016;7;11;14;30;33
INTRALOT_MINAS_5;920;25/6/2016;4;7;12;17;18
INTRALOT_MINAS_5;919;24/6/2016;7;12;19;26;28
INTRALOT_MINAS_5;918;23/6/2016;25;26;29;30;32
INTRALOT_MINAS_5;917;22/6/2016;6;9;11;15;34
