JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;415292;1/2/2016;1;11;12;14;16;17;20;25;38;45;50;53;54;55;56;64;70;74;75;76
INTRALOT_KENO_MINAS;415291;1/2/2016;2;5;17;21;31;32;36;43;44;46;47;48;56;57;62;67;73;74;77;79
INTRALOT_KENO_MINAS;415290;1/2/2016;3;5;16;20;25;28;33;34;36;40;41;42;47;52;58;61;68;71;78;79
INTRALOT_KENO_MINAS;415289;1/2/2016;1;5;7;11;17;18;25;34;39;45;46;50;51;53;57;58;69;71;72;74
INTRALOT_KENO_MINAS;415288;1/2/2016;4;8;13;22;27;30;37;39;44;45;47;51;54;55;60;69;71;74;77;78
INTRALOT_KENO_MINAS;415287;1/2/2016;2;14;16;18;19;26;27;31;35;36;40;48;55;59;60;63;69;74;76;80
INTRALOT_KENO_MINAS;415286;1/2/2016;8;14;17;22;23;27;30;31;32;33;36;45;59;64;66;69;70;72;79;80
INTRALOT_KENO_MINAS;415285;1/2/2016;2;5;6;8;13;14;15;21;28;31;38;41;58;59;60;66;67;68;69;74
INTRALOT_KENO_MINAS;415284;1/2/2016;3;9;13;15;25;27;29;34;35;40;45;47;60;62;63;66;68;74;78;80
INTRALOT_KENO_MINAS;415283;1/2/2016;2;8;10;13;21;23;25;27;31;37;38;40;43;49;51;55;60;62;66;72
