JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;430152;11/4/2016;4;7;10;11;17;23;28;29;30;32;39;53;54;57;65;66;68;78;79;80
INTRALOT_KENO_MINAS;430151;11/4/2016;3;7;9;26;28;32;36;43;45;49;51;52;54;57;60;65;66;71;76;77
INTRALOT_KENO_MINAS;430150;11/4/2016;4;7;8;11;13;16;33;37;40;42;44;49;53;56;61;66;69;71;75;79
INTRALOT_KENO_MINAS;430149;10/4/2016;4;8;9;11;13;14;19;20;28;32;50;60;61;62;64;65;67;69;72;77
INTRALOT_KENO_MINAS;430148;10/4/2016;4;7;12;15;17;18;23;25;31;33;35;38;41;42;53;56;58;64;69;75
INTRALOT_KENO_MINAS;430147;10/4/2016;10;19;22;24;31;32;35;44;47;48;51;52;55;59;60;63;65;70;74;77
INTRALOT_KENO_MINAS;430146;10/4/2016;4;8;13;17;20;24;27;31;32;33;35;36;39;42;44;48;53;72;78;80
INTRALOT_KENO_MINAS;430145;10/4/2016;6;7;18;23;27;31;33;35;39;42;44;48;50;57;58;69;73;75;79;80
INTRALOT_KENO_MINAS;430144;10/4/2016;4;13;14;18;20;26;28;47;48;50;53;58;61;62;63;64;69;71;72;80
INTRALOT_KENO_MINAS;430143;10/4/2016;1;7;15;16;21;23;24;26;32;33;38;39;45;46;52;53;56;61;66;80
