JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;421072;28/2/2016;6;7;13;15;16;24;25;27;30;36;37;38;41;46;59;61;62;66;70;75
INTRALOT_KENO_MINAS;421071;28/2/2016;1;7;12;18;30;34;35;38;42;43;44;50;53;54;55;57;61;63;73;79
INTRALOT_KENO_MINAS;421070;28/2/2016;6;7;12;15;17;19;21;23;29;30;31;34;36;39;47;51;58;59;66;74
INTRALOT_KENO_MINAS;421069;28/2/2016;2;3;5;7;12;18;19;22;26;36;41;43;44;48;50;52;65;68;78;80
INTRALOT_KENO_MINAS;421068;28/2/2016;2;3;4;5;7;20;27;35;37;39;40;45;46;47;58;71;72;74;75;78
INTRALOT_KENO_MINAS;421067;28/2/2016;3;10;15;16;19;20;30;33;36;38;39;42;55;57;59;63;69;70;79;80
INTRALOT_KENO_MINAS;421066;28/2/2016;5;11;18;21;22;26;39;40;45;46;48;52;62;63;69;70;71;72;76;77
INTRALOT_KENO_MINAS;421065;28/2/2016;4;7;8;12;17;22;25;27;28;33;49;57;58;60;64;73;75;78;79;80
INTRALOT_KENO_MINAS;421064;28/2/2016;5;12;16;18;30;31;35;36;42;45;48;54;62;69;74;75;76;77;78;79
INTRALOT_KENO_MINAS;421063;28/2/2016;3;9;13;23;31;32;34;38;40;41;45;49;50;54;59;62;65;68;76;77
