JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5
INTRALOT_MINAS_5;886;16/5/2016;5;14;26;29;34
INTRALOT_MINAS_5;885;14/5/2016;19;20;22;33;34
INTRALOT_MINAS_5;884;13/5/2016;10;11;21;26;30
INTRALOT_MINAS_5;883;12/5/2016;6;7;13;18;34
INTRALOT_MINAS_5;882;11/5/2016;6;7;22;26;28
INTRALOT_MINAS_5;881;10/5/2016;13;16;21;25;33
INTRALOT_MINAS_5;880;9/5/2016;5;12;15;18;31
INTRALOT_MINAS_5;879;7/5/2016;18;22;23;28;30
INTRALOT_MINAS_5;878;6/5/2016;10;15;27;30;34
INTRALOT_MINAS_5;877;5/5/2016;4;19;20;24;33
