JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;414812;30/1/2016;1;6;16;17;19;21;22;26;33;35;43;45;46;54;56;57;64;76;78;80
INTRALOT_KENO_MINAS;414811;30/1/2016;3;7;13;18;19;26;28;29;34;37;41;49;57;61;63;65;68;71;72;75
INTRALOT_KENO_MINAS;414810;30/1/2016;11;12;16;21;24;26;29;33;36;44;45;51;52;53;54;66;67;72;76;77
INTRALOT_KENO_MINAS;414809;30/1/2016;4;6;7;12;19;23;29;36;40;47;48;54;56;63;67;71;73;75;78;80
INTRALOT_KENO_MINAS;414808;30/1/2016;5;10;13;18;22;28;29;30;31;36;43;46;50;55;65;67;71;75;76;80
INTRALOT_KENO_MINAS;414807;30/1/2016;4;10;17;21;23;24;26;29;30;31;32;37;46;47;54;55;57;61;70;78
INTRALOT_KENO_MINAS;414806;30/1/2016;4;10;13;14;15;23;24;34;40;42;43;50;62;64;65;69;70;71;72;80
INTRALOT_KENO_MINAS;414805;30/1/2016;1;3;5;6;15;23;28;33;37;40;45;46;47;56;61;68;73;77;79;80
INTRALOT_KENO_MINAS;414804;30/1/2016;7;8;13;20;22;27;31;39;40;45;48;58;59;60;61;63;69;71;72;74
INTRALOT_KENO_MINAS;414803;30/1/2016;4;12;14;17;18;25;29;31;36;39;41;48;54;57;60;64;66;68;69;78
