JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;419332;20/2/2016;5;6;15;16;17;18;33;34;43;49;51;52;54;61;66;69;72;73;75;80
INTRALOT_KENO_MINAS;419331;20/2/2016;2;3;7;12;19;24;25;32;38;52;54;57;63;66;68;69;71;73;77;79
INTRALOT_KENO_MINAS;419330;20/2/2016;4;13;16;17;20;32;35;42;43;46;50;52;61;64;65;66;68;70;75;79
INTRALOT_KENO_MINAS;419329;20/2/2016;1;3;6;12;13;15;17;27;31;38;41;43;45;53;55;57;60;71;73;78
INTRALOT_KENO_MINAS;419328;20/2/2016;5;6;8;13;14;16;23;30;33;34;38;39;52;53;57;59;60;70;72;78
INTRALOT_KENO_MINAS;419327;20/2/2016;1;6;10;11;14;15;18;23;27;28;32;34;44;47;51;59;67;68;72;74
INTRALOT_KENO_MINAS;419326;20/2/2016;10;13;17;25;29;30;36;40;41;44;46;50;51;52;53;58;59;62;65;66
INTRALOT_KENO_MINAS;419325;20/2/2016;1;5;8;9;12;15;16;18;23;25;31;36;37;38;40;41;48;61;63;78
INTRALOT_KENO_MINAS;419324;20/2/2016;1;3;11;17;21;23;30;35;37;41;46;48;49;58;64;66;67;72;76;80
INTRALOT_KENO_MINAS;419323;20/2/2016;5;7;17;18;21;23;28;32;35;45;56;57;58;59;61;62;64;65;68;71
