JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5
INTRALOT_MINAS_5;786;16/1/2016;4;5;10;25;32
INTRALOT_MINAS_5;785;15/1/2016;8;10;16;27;31
INTRALOT_MINAS_5;784;14/1/2016;1;19;22;26;34
INTRALOT_MINAS_5;783;13/1/2016;4;12;25;27;28
INTRALOT_MINAS_5;782;12/1/2016;4;10;12;23;28
INTRALOT_MINAS_5;781;11/1/2016;1;13;19;23;31
INTRALOT_MINAS_5;780;9/1/2016;1;13;19;20;34
INTRALOT_MINAS_5;779;8/1/2016;3;4;6;22;28
INTRALOT_MINAS_5;778;7/1/2016;5;10;18;21;22
INTRALOT_MINAS_5;777;6/1/2016;3;20;23;26;32
