JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;436050;8/5/2016;2;3;6;8;11;20;31;32;36;40;41;44;50;53;55;57;64;72;76;79
INTRALOT_KENO_MINAS;436049;8/5/2016;9;13;18;20;28;31;33;37;47;48;51;56;58;59;62;64;65;74;79;80
INTRALOT_KENO_MINAS;436048;8/5/2016;4;5;6;13;14;18;20;33;35;42;45;49;59;60;63;65;68;70;71;79
INTRALOT_KENO_MINAS;436047;8/5/2016;5;6;7;10;12;25;26;30;31;32;34;35;45;47;51;60;63;66;70;76
INTRALOT_KENO_MINAS;436046;8/5/2016;6;10;11;12;19;24;25;31;33;34;38;40;41;57;62;66;72;74;77;79
INTRALOT_KENO_MINAS;436045;8/5/2016;2;3;4;11;12;16;19;25;32;35;36;45;47;51;55;56;59;69;75;76
INTRALOT_KENO_MINAS;436044;8/5/2016;3;7;12;14;25;41;43;50;53;56;59;65;68;70;72;74;77;78;79;80
INTRALOT_KENO_MINAS;436043;8/5/2016;6;7;10;14;17;18;23;25;31;32;37;40;41;50;51;54;65;66;68;77
INTRALOT_KENO_MINAS;436042;8/5/2016;1;9;10;14;19;20;22;24;27;30;35;36;37;47;54;58;61;62;73;76
INTRALOT_KENO_MINAS;436041;8/5/2016;3;8;13;14;15;19;23;25;27;28;35;40;43;44;52;59;62;64;69;74
