JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;453028;26/7/2016;5;9;13;14;15;21;24;36;37;38;41;53;58;59;61;69;71;73;74;76
INTRALOT_KENO_MINAS;453027;26/7/2016;4;5;8;10;17;20;21;23;28;31;33;36;43;49;59;61;62;65;67;79
INTRALOT_KENO_MINAS;453026;26/7/2016;5;6;8;9;10;22;38;41;44;45;49;50;52;57;60;65;68;69;70;76
INTRALOT_KENO_MINAS;453025;26/7/2016;8;14;21;22;23;25;28;29;30;32;33;34;35;39;47;48;50;54;66;72
INTRALOT_KENO_MINAS;453024;26/7/2016;2;5;16;22;23;28;29;37;38;48;53;60;62;65;68;71;74;77;79;80
INTRALOT_KENO_MINAS;453023;26/7/2016;1;2;14;16;27;32;36;37;40;41;45;50;51;52;55;65;66;74;75;79
INTRALOT_KENO_MINAS;453022;26/7/2016;2;3;6;8;16;27;30;31;33;38;40;41;49;57;58;59;60;61;77;80
INTRALOT_KENO_MINAS;453021;26/7/2016;1;3;8;9;10;16;25;37;38;40;42;45;46;52;57;59;67;70;76;78
INTRALOT_KENO_MINAS;453020;26/7/2016;3;5;6;8;13;14;17;30;31;32;42;45;48;49;50;65;67;69;70;73
INTRALOT_KENO_MINAS;453019;26/7/2016;5;7;11;15;17;25;29;30;35;36;38;43;44;46;51;58;61;65;69;72
