JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;453518;28/7/2016;4;6;8;14;22;23;31;42;46;47;52;54;56;58;71;73;76;77;78;80
INTRALOT_KENO_MINAS;453517;28/7/2016;1;3;4;10;14;15;23;26;30;32;34;36;37;44;45;47;56;69;76;77
INTRALOT_KENO_MINAS;453516;28/7/2016;4;5;11;13;25;26;30;35;41;47;52;54;56;57;59;60;62;66;74;76
INTRALOT_KENO_MINAS;453515;28/7/2016;11;13;14;15;17;22;26;29;31;34;41;48;58;60;62;69;70;72;74;76
INTRALOT_KENO_MINAS;453514;28/7/2016;9;11;13;15;24;27;29;31;42;49;52;56;57;59;61;63;66;69;70;75
INTRALOT_KENO_MINAS;453513;28/7/2016;2;9;18;20;22;24;30;35;37;40;43;45;48;51;52;53;57;62;66;67
INTRALOT_KENO_MINAS;453512;28/7/2016;4;5;6;8;16;18;28;29;35;36;37;39;41;46;47;48;52;62;69;79
INTRALOT_KENO_MINAS;453511;28/7/2016;1;7;15;18;19;24;28;29;31;32;33;38;40;49;50;58;59;60;69;72
INTRALOT_KENO_MINAS;453510;28/7/2016;4;8;10;12;14;22;25;28;30;31;34;45;46;47;49;55;57;58;72;80
INTRALOT_KENO_MINAS;453509;28/7/2016;11;12;19;20;21;22;24;29;30;32;33;45;47;50;56;63;68;69;70;77
