JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;450743;15/7/2016;1;3;13;18;27;28;29;31;38;40;42;44;48;53;58;62;65;69;78;80
INTRALOT_KENO_MINAS;450742;15/7/2016;3;14;17;19;21;31;38;40;42;43;47;48;50;51;52;55;57;63;64;69
INTRALOT_KENO_MINAS;450741;15/7/2016;5;6;15;16;17;33;43;44;47;58;61;63;69;73;75;76;77;78;79;80
INTRALOT_KENO_MINAS;450740;15/7/2016;3;12;18;20;24;30;33;39;46;47;49;50;51;53;57;68;69;73;76;79
INTRALOT_KENO_MINAS;450739;15/7/2016;2;3;6;11;13;19;20;27;31;38;42;46;47;51;60;63;64;69;71;74
INTRALOT_KENO_MINAS;450738;15/7/2016;2;3;10;22;24;30;32;34;37;43;44;45;50;54;55;59;66;70;76;79
INTRALOT_KENO_MINAS;450737;15/7/2016;14;15;21;25;26;36;37;38;43;49;50;53;54;55;56;62;68;71;72;76
INTRALOT_KENO_MINAS;450736;15/7/2016;2;4;6;7;9;13;14;16;20;29;32;41;44;50;51;55;58;62;69;75
INTRALOT_KENO_MINAS;450735;15/7/2016;5;11;16;18;20;24;35;37;39;45;48;51;52;55;57;62;64;68;71;75
INTRALOT_KENO_MINAS;450734;15/7/2016;4;10;15;18;20;25;28;30;37;38;43;46;58;59;60;64;70;73;77;78
