JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;450913;16/7/2016;1;2;6;11;13;14;16;19;23;28;33;34;39;41;42;45;57;62;66;78
INTRALOT_KENO_MINAS;450912;16/7/2016;7;8;11;16;18;20;21;23;28;31;32;34;36;41;45;48;51;60;65;71
INTRALOT_KENO_MINAS;450911;16/7/2016;6;8;12;13;14;16;18;27;30;33;37;44;47;55;58;64;73;75;76;80
INTRALOT_KENO_MINAS;450910;16/7/2016;6;15;17;19;23;24;27;33;37;47;50;53;54;59;60;64;69;73;74;76
INTRALOT_KENO_MINAS;450909;16/7/2016;5;12;17;21;24;27;34;35;36;37;39;40;46;47;52;60;65;71;77;78
INTRALOT_KENO_MINAS;450908;16/7/2016;8;11;15;17;19;21;22;26;31;36;42;47;48;50;53;54;55;68;69;77
INTRALOT_KENO_MINAS;450907;16/7/2016;3;4;7;14;17;22;29;30;31;44;46;47;52;53;54;58;71;74;75;78
INTRALOT_KENO_MINAS;450906;16/7/2016;2;4;12;13;24;25;30;31;34;35;42;46;52;58;64;70;71;75;77;78
INTRALOT_KENO_MINAS;450905;16/7/2016;14;21;29;36;41;42;44;52;54;55;56;59;60;61;62;64;66;71;73;79
INTRALOT_KENO_MINAS;450904;16/7/2016;1;2;6;12;13;16;23;28;31;37;40;46;54;55;56;58;64;73;79;80
