JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;450873;16/7/2016;3;22;23;24;30;31;38;39;40;48;50;52;53;64;66;68;69;71;78;79
INTRALOT_KENO_MINAS;450872;16/7/2016;9;11;16;28;30;31;36;37;48;51;53;54;61;62;63;64;65;70;72;78
INTRALOT_KENO_MINAS;450871;16/7/2016;2;3;7;9;10;23;27;29;37;38;44;49;50;52;55;64;66;67;69;78
INTRALOT_KENO_MINAS;450870;16/7/2016;2;6;11;15;20;25;27;28;31;33;34;47;51;54;56;60;67;69;73;77
INTRALOT_KENO_MINAS;450869;16/7/2016;9;10;19;30;31;35;38;41;42;52;55;58;61;63;64;65;72;76;78;79
INTRALOT_KENO_MINAS;450868;16/7/2016;3;6;7;8;10;22;25;29;32;36;38;49;50;51;52;55;61;64;66;69
INTRALOT_KENO_MINAS;450867;16/7/2016;2;4;5;6;20;21;22;26;28;36;37;42;49;59;62;64;68;69;74;78
INTRALOT_KENO_MINAS;450866;16/7/2016;1;11;16;18;23;24;28;29;32;36;38;45;54;61;62;64;65;67;74;79
INTRALOT_KENO_MINAS;450865;16/7/2016;4;16;20;22;25;26;29;38;42;47;51;56;57;58;61;64;71;72;75;79
INTRALOT_KENO_MINAS;450864;16/7/2016;5;8;9;10;12;16;17;24;30;36;44;53;55;57;67;71;73;74;79;80
