JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;450723;15/7/2016;1;3;4;11;12;16;18;40;43;45;46;47;48;52;53;58;59;70;72;76
INTRALOT_KENO_MINAS;450722;15/7/2016;1;3;6;7;8;9;10;14;15;18;21;30;33;36;48;49;62;68;72;75
INTRALOT_KENO_MINAS;450721;15/7/2016;5;14;19;24;26;40;42;49;51;53;55;57;59;64;66;67;68;70;72;76
INTRALOT_KENO_MINAS;450720;15/7/2016;4;10;11;13;18;19;20;21;22;26;28;30;32;33;34;44;56;58;62;76
INTRALOT_KENO_MINAS;450719;15/7/2016;2;5;6;9;14;15;18;24;27;28;32;38;44;45;48;50;55;65;68;80
INTRALOT_KENO_MINAS;450718;15/7/2016;7;10;15;16;20;24;29;34;36;37;41;42;44;56;58;62;69;73;76;78
INTRALOT_KENO_MINAS;450717;15/7/2016;1;9;18;20;23;24;25;32;35;36;38;46;47;49;51;60;62;69;73;74
INTRALOT_KENO_MINAS;450716;15/7/2016;7;10;14;17;20;22;23;31;33;34;41;53;55;58;63;68;71;72;75;80
INTRALOT_KENO_MINAS;450715;15/7/2016;4;7;10;11;16;17;21;23;27;29;30;32;33;37;50;53;71;72;77;79
INTRALOT_KENO_MINAS;450714;15/7/2016;6;8;9;10;14;26;29;30;36;38;41;42;44;45;47;53;54;65;66;73
