JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;450773;15/7/2016;11;13;16;19;28;34;38;40;44;47;51;62;63;66;67;68;70;71;78;80
INTRALOT_KENO_MINAS;450772;15/7/2016;6;10;14;24;36;39;46;47;49;50;54;59;61;63;65;67;70;72;77;78
INTRALOT_KENO_MINAS;450771;15/7/2016;4;12;16;17;22;32;33;37;39;42;46;48;51;57;63;64;66;74;75;77
INTRALOT_KENO_MINAS;450770;15/7/2016;3;9;14;23;25;26;30;34;39;40;47;49;52;54;56;60;61;63;78;80
INTRALOT_KENO_MINAS;450769;15/7/2016;2;18;19;21;26;29;31;34;38;40;42;43;56;57;61;64;66;73;74;78
INTRALOT_KENO_MINAS;450768;15/7/2016;7;10;16;17;19;20;29;30;44;47;54;55;57;61;67;70;71;74;75;77
INTRALOT_KENO_MINAS;450767;15/7/2016;7;8;15;24;28;29;30;32;37;45;48;49;51;52;55;58;60;67;73;78
INTRALOT_KENO_MINAS;450766;15/7/2016;5;6;10;16;18;24;28;33;37;44;50;61;70;72;75;76;77;78;79;80
INTRALOT_KENO_MINAS;450765;15/7/2016;5;11;13;21;28;35;36;47;48;54;55;57;58;59;64;69;71;73;78;79
INTRALOT_KENO_MINAS;450764;15/7/2016;1;4;7;10;11;16;25;26;28;38;40;41;43;44;63;69;76;77;78;79
