JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;450863;16/7/2016;3;17;21;24;25;29;31;32;33;36;37;41;46;47;54;57;60;67;72;79
INTRALOT_KENO_MINAS;450862;16/7/2016;5;7;18;20;22;27;29;33;35;37;38;48;52;53;56;59;60;64;70;75
INTRALOT_KENO_MINAS;450861;16/7/2016;3;4;5;8;23;29;34;35;37;41;43;51;57;60;65;69;73;76;79;80
INTRALOT_KENO_MINAS;450860;16/7/2016;5;8;9;13;18;19;25;27;28;30;33;40;42;46;53;55;57;64;76;78
INTRALOT_KENO_MINAS;450859;16/7/2016;9;10;12;18;28;30;34;39;43;44;51;52;53;64;67;68;69;70;73;78
INTRALOT_KENO_MINAS;450858;16/7/2016;7;8;14;18;21;22;25;26;31;32;33;38;45;55;58;68;70;71;76;80
INTRALOT_KENO_MINAS;450857;16/7/2016;14;22;23;24;25;27;34;36;39;42;44;53;58;61;62;64;71;75;76;77
INTRALOT_KENO_MINAS;450856;16/7/2016;2;3;4;14;16;21;26;27;34;38;41;42;49;50;54;56;57;60;70;73
INTRALOT_KENO_MINAS;450855;16/7/2016;7;15;16;18;21;23;29;30;35;42;46;47;52;61;64;71;75;77;79;80
INTRALOT_KENO_MINAS;450854;16/7/2016;9;11;12;15;17;27;29;32;33;39;41;46;47;58;60;67;68;70;72;79
