JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;455593;7/8/2016;4;10;15;22;24;27;34;37;38;41;45;53;56;57;58;60;66;69;78;80
INTRALOT_KENO_MINAS;455592;7/8/2016;2;7;10;16;18;19;22;26;27;32;37;50;55;58;59;60;71;73;75;79
INTRALOT_KENO_MINAS;455591;7/8/2016;2;20;21;24;27;28;33;36;39;47;51;54;58;59;60;62;64;71;74;76
INTRALOT_KENO_MINAS;455590;7/8/2016;2;5;10;12;17;19;21;24;25;32;37;41;46;48;53;54;55;58;66;79
INTRALOT_KENO_MINAS;455589;7/8/2016;1;11;16;20;22;23;27;29;33;37;38;39;43;49;50;59;61;67;70;80
INTRALOT_KENO_MINAS;455588;7/8/2016;1;8;15;22;25;26;27;34;36;42;43;44;47;48;49;62;67;76;78;79
INTRALOT_KENO_MINAS;455587;7/8/2016;2;5;6;7;9;13;23;24;25;29;35;40;49;50;52;56;58;61;64;75
INTRALOT_KENO_MINAS;455586;7/8/2016;2;10;12;13;15;21;23;24;36;38;39;48;49;52;55;59;65;70;72;73
INTRALOT_KENO_MINAS;455585;7/8/2016;1;6;10;16;20;27;33;41;42;44;51;58;59;61;68;69;70;72;74;78
INTRALOT_KENO_MINAS;455584;7/8/2016;3;5;8;17;22;24;25;31;37;40;41;42;44;46;47;48;54;60;62;79
