JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;455433;6/8/2016;6;7;8;10;12;34;36;38;40;41;42;48;49;64;65;69;74;75;78;79
INTRALOT_KENO_MINAS;455432;6/8/2016;2;3;4;10;15;18;20;26;30;33;37;41;49;59;60;64;68;69;70;77
INTRALOT_KENO_MINAS;455431;6/8/2016;4;6;9;11;13;16;17;19;26;27;37;42;45;49;53;55;56;65;68;78
INTRALOT_KENO_MINAS;455430;6/8/2016;5;6;8;12;19;22;27;28;39;40;45;47;49;50;51;59;60;68;70;76
INTRALOT_KENO_MINAS;455429;6/8/2016;1;2;11;16;17;21;27;30;31;37;40;50;54;56;57;58;67;72;78;79
INTRALOT_KENO_MINAS;455428;6/8/2016;2;7;14;15;19;23;28;36;37;45;49;50;51;56;62;63;70;74;76;78
INTRALOT_KENO_MINAS;455427;6/8/2016;8;13;15;22;25;28;31;33;34;36;37;38;43;56;61;67;70;72;74;80
INTRALOT_KENO_MINAS;455426;6/8/2016;11;12;17;21;24;28;35;36;39;44;45;46;50;52;54;55;61;64;70;76
INTRALOT_KENO_MINAS;455425;6/8/2016;2;7;8;11;12;13;15;16;23;30;31;37;52;61;66;67;69;71;74;78
INTRALOT_KENO_MINAS;455424;6/8/2016;10;13;16;19;21;22;23;27;32;33;40;42;44;48;49;51;61;67;75;80
