JOGO_TIPO;CONCURSO;DATA SORTEIO;BOLA1;BOLA2;BOLA3;BOLA4;BOLA5;BOLA6;BOLA7;BOLA8;BOLA9;BOLA10;BOLA11;BOLA12;BOLA13;BOLA14;BOLA15;BOLA16;BOLA17;BOLA18;BOLA19;BOLA20
INTRALOT_KENO_MINAS;458338;20/8/2016;2;11;12;13;15;20;21;25;28;29;30;33;38;39;42;43;44;48;60;63
INTRALOT_KENO_MINAS;458337;20/8/2016;1;3;8;13;14;18;19;31;34;37;43;48;50;54;62;65;77;78;79;80
INTRALOT_KENO_MINAS;458336;20/8/2016;8;10;11;13;15;23;25;30;31;40;41;42;44;58;59;66;69;71;78;79
INTRALOT_KENO_MINAS;458335;20/8/2016;1;4;5;8;20;29;32;38;41;42;44;45;50;56;58;62;64;69;70;74
INTRALOT_KENO_MINAS;458334;20/8/2016;7;11;16;20;26;30;32;35;43;49;53;59;62;63;64;68;69;76;78;80
INTRALOT_KENO_MINAS;458333;20/8/2016;3;5;6;13;19;20;24;25;30;43;44;56;57;63;67;70;71;72;74;80
INTRALOT_KENO_MINAS;458332;20/8/2016;2;3;14;16;19;22;26;35;41;42;48;52;53;57;58;59;63;64;67;78
INTRALOT_KENO_MINAS;458331;20/8/2016;6;11;13;17;26;30;33;37;39;46;47;51;53;58;65;66;71;74;76;79
INTRALOT_KENO_MINAS;458330;20/8/2016;4;10;16;17;19;21;28;32;37;42;43;44;45;48;55;58;61;62;69;73
INTRALOT_KENO_MINAS;458329;20/8/2016;4;10;11;12;23;25;28;33;44;46;56;60;61;62;64;66;68;72;77;80
